2025-08-06 16:18:00.784 | INFO     | __main__:crawl_accident_data:63 - 추출 완료: 차12-1
2025-08-06 16:18:01.890 | DEBUG    | __main__:crawl_accident_data:49 - 요청 URL: https://accident.knia.or.kr/myaccident-content?chartNo=%EC%B0%A812-2&chartType=1
2025-08-06 16:18:01.913 | INFO     | __main__:crawl_accident_data:63 - 추출 완료: 차12-2
2025-08-06 16:18:03.173 | DEBUG    | __main__:crawl_accident_data:49 - 요청 URL: https://accident.knia.or.kr/myaccident-content?chartNo=%EC%B0%A812-3&chartType=1
2025-08-06 16:18:03.176 | DEBUG    | __main__:crawl_accident_data:53 - 페이지 12 완료 (총 2건)
2025-08-06 16:18:03.177 | INFO     | __main__:crawl_accident_data:76 - 페이지 12/62 완료 (현재까지 총 40건)
2025-08-06 16:18:03.261 | DEBUG    | __main__:crawl_accident_data:49 - 요청 URL: https://accident.knia.or.kr/myaccident-content?chartNo=%EC%B0%A813-1&chartType=1
2025-08-06 16:18:03.282 | INFO     | __main__:crawl_accident_data:63 - 추출 완료: 차13-1
2025-08-06 16:18:04.364 | DEBUG    | __main__:crawl_accident_data:49 - 요청 URL: https://accident.knia.or.kr/myaccident-content?chartNo=%EC%B0%A813-2&chartType=1
2025-08-06 16:18:04.386 | INFO     | __main__:crawl_accident_data:63 - 추출 완료: 차13-2
2025-08-06 16:18:05.503 | DEBUG    | __main__:crawl_accident_data:49 - 요청 URL: https://accident.knia.or.kr/myaccident-content?chartNo=%EC%B0%A813-3&chartType=1
2025-08-06 16:18:05.534 | INFO     | __main__:crawl_accident_data:63 - 추출 완료: 차13-3
2025-08-06 16:18:06.639 | DEBUG    | __main__:crawl_accident_data:49 - 요청 URL: https://accident.knia.or.kr/myaccident-content?chartNo=%EC%B0%A813-4&chartType=1
2025-08-06 16:18:06.658 | INFO     | __main__:crawl_accident_data:63 - 추출 완료: 차13-4
2025-08-06 16:18:07.764 | DEBUG    | __main__:crawl_accident_data:49 - 요청 URL: https://accident.knia.or.kr/myaccident-content?chartNo=%EC%B0%A813-5&chartType=1
2025-08-06 16:18:07.765 | DEBUG    | __main__:crawl_accident_data:53 - 페이지 13 완료 (총 4건)
2025-08-06 16:18:07.766 | INFO     | __main__:crawl_accident_data:76 - 페이지 13/62 완료 (현재까지 총 44건)
2025-08-06 16:18:07.851 | DEBUG    | __main__:crawl_accident_data:49 - 요청 URL: https://accident.knia.or.kr/myaccident-content?chartNo=%EC%B0%A814-1&chartType=1
2025-08-06 16:18:07.872 | INFO     | __main__:crawl_accident_data:63 - 추출 완료: 차14-1
2025-08-06 16:18:08.958 | DEBUG    | __main__:crawl_accident_data:49 - 요청 URL: https://accident.knia.or.kr/myaccident-content?chartNo=%EC%B0%A814-2&chartType=1
2025-08-06 16:18:08.958 | DEBUG    | __main__:crawl_accident_data:53 - 페이지 14 완료 (총 1건)
2025-08-06 16:18:08.958 | INFO     | __main__:crawl_accident_data:76 - 페이지 14/62 완료 (현재까지 총 45건)
2025-08-06 16:18:09.044 | DEBUG    | __main__:crawl_accident_data:49 - 요청 URL: https://accident.knia.or.kr/myaccident-content?chartNo=%EC%B0%A815-1&chartType=1
2025-08-06 16:18:09.058 | INFO     | __main__:crawl_accident_data:63 - 추출 완료: 차15-1
2025-08-06 16:18:10.662 | DEBUG    | __main__:crawl_accident_data:49 - 요청 URL: https://accident.knia.or.kr/myaccident-content?chartNo=%EC%B0%A815-2&chartType=1
2025-08-06 16:18:10.664 | DEBUG    | __main__:crawl_accident_data:53 - 페이지 15 완료 (총 1건)
2025-08-06 16:18:10.665 | INFO     | __main__:crawl_accident_data:76 - 페이지 15/62 완료 (현재까지 총 46건)
2025-08-06 16:18:10.766 | DEBUG    | __main__:crawl_accident_data:49 - 요청 URL: https://accident.knia.or.kr/myaccident-content?chartNo=%EC%B0%A816-1&chartType=1
2025-08-06 16:18:10.787 | INFO     | __main__:crawl_accident_data:63 - 추출 완료: 차16-1
2025-08-06 16:18:11.884 | DEBUG    | __main__:crawl_accident_data:49 - 요청 URL: https://accident.knia.or.kr/myaccident-content?chartNo=%EC%B0%A816-2&chartType=1
2025-08-06 16:18:11.905 | INFO     | __main__:crawl_accident_data:63 - 추출 완료: 차16-2
2025-08-06 16:18:13.023 | DEBUG    | __main__:crawl_accident_data:49 - 요청 URL: https://accident.knia.or.kr/myaccident-content?chartNo=%EC%B0%A816-3&chartType=1
2025-08-06 16:18:13.049 | INFO     | __main__:crawl_accident_data:63 - 추출 완료: 차16-3
2025-08-06 16:18:14.175 | DEBUG    | __main__:crawl_accident_data:49 - 요청 URL: https://accident.knia.or.kr/myaccident-content?chartNo=%EC%B0%A816-4&chartType=1
2025-08-06 16:18:14.198 | INFO     | __main__:crawl_accident_data:63 - 추출 완료: 차16-4
2025-08-06 16:18:15.296 | DEBUG    | __main__:crawl_accident_data:49 - 요청 URL: https://accident.knia.or.kr/myaccident-content?chartNo=%EC%B0%A816-5&chartType=1
2025-08-06 16:18:15.323 | INFO     | __main__:crawl_accident_data:63 - 추출 완료: 차16-5
2025-08-06 16:18:16.417 | DEBUG    | __main__:crawl_accident_data:49 - 요청 URL: https://accident.knia.or.kr/myaccident-content?chartNo=%EC%B0%A816-6&chartType=1
2025-08-06 16:18:16.418 | DEBUG    | __main__:crawl_accident_data:53 - 페이지 16 완료 (총 5건)
2025-08-06 16:18:16.418 | INFO     | __main__:crawl_accident_data:76 - 페이지 16/62 완료 (현재까지 총 51건)
2025-08-06 16:18:16.540 | DEBUG    | __main__:crawl_accident_data:49 - 요청 URL: https://accident.knia.or.kr/myaccident-content?chartNo=%EC%B0%A817-1&chartType=1
2025-08-06 16:18:16.570 | INFO     | __main__:crawl_accident_data:63 - 추출 완료: 차17-1
2025-08-06 16:18:17.664 | DEBUG    | __main__:crawl_accident_data:49 - 요청 URL: https://accident.knia.or.kr/myaccident-content?chartNo=%EC%B0%A817-2&chartType=1
2025-08-06 16:18:17.687 | INFO     | __main__:crawl_accident_data:63 - 추출 완료: 차17-2
2025-08-06 16:18:18.783 | DEBUG    | __main__:crawl_accident_data:49 - 요청 URL: https://accident.knia.or.kr/myaccident-content?chartNo=%EC%B0%A817-3&chartType=1
2025-08-06 16:18:18.784 | DEBUG    | __main__:crawl_accident_data:53 - 페이지 17 완료 (총 2건)
2025-08-06 16:18:18.784 | INFO     | __main__:crawl_accident_data:76 - 페이지 17/62 완료 (현재까지 총 53건)
2025-08-06 16:18:18.881 | DEBUG    | __main__:crawl_accident_data:49 - 요청 URL: https://accident.knia.or.kr/myaccident-content?chartNo=%EC%B0%A818-1&chartType=1
2025-08-06 16:18:18.900 | INFO     | __main__:crawl_accident_data:63 - 추출 완료: 차18-1
2025-08-06 16:18:19.989 | DEBUG    | __main__:crawl_accident_data:49 - 요청 URL: https://accident.knia.or.kr/myaccident-content?chartNo=%EC%B0%A818-2&chartType=1
2025-08-06 16:18:20.018 | INFO     | __main__:crawl_accident_data:63 - 추출 완료: 차18-2
2025-08-06 16:18:21.109 | DEBUG    | __main__:crawl_accident_data:49 - 요청 URL: https://accident.knia.or.kr/myaccident-content?chartNo=%EC%B0%A818-3&chartType=1
2025-08-06 16:18:21.109 | DEBUG    | __main__:crawl_accident_data:53 - 페이지 18 완료 (총 2건)
2025-08-06 16:18:21.110 | INFO     | __main__:crawl_accident_data:76 - 페이지 18/62 완료 (현재까지 총 55건)
2025-08-06 16:18:21.188 | DEBUG    | __main__:crawl_accident_data:49 - 요청 URL: https://accident.knia.or.kr/myaccident-content?chartNo=%EC%B0%A819-1&chartType=1
2025-08-06 16:18:21.220 | INFO     | __main__:crawl_accident_data:63 - 추출 완료: 차19-1
2025-08-06 16:18:22.318 | DEBUG    | __main__:crawl_accident_data:49 - 요청 URL: https://accident.knia.or.kr/myaccident-content?chartNo=%EC%B0%A819-2&chartType=1
2025-08-06 16:18:22.319 | DEBUG    | __main__:crawl_accident_data:53 - 페이지 19 완료 (총 1건)
2025-08-06 16:18:22.319 | INFO     | __main__:crawl_accident_data:76 - 페이지 19/62 완료 (현재까지 총 56건)
2025-08-06 16:18:22.427 | DEBUG    | __main__:crawl_accident_data:49 - 요청 URL: https://accident.knia.or.kr/myaccident-content?chartNo=%EC%B0%A820-1&chartType=1
2025-08-06 16:18:22.449 | INFO     | __main__:crawl_accident_data:63 - 추출 완료: 차20-1
2025-08-06 16:18:23.552 | DEBUG    | __main__:crawl_accident_data:49 - 요청 URL: https://accident.knia.or.kr/myaccident-content?chartNo=%EC%B0%A820-2&chartType=1
2025-08-06 16:18:23.573 | INFO     | __main__:crawl_accident_data:63 - 추출 완료: 차20-2
2025-08-06 16:18:24.687 | DEBUG    | __main__:crawl_accident_data:49 - 요청 URL: https://accident.knia.or.kr/myaccident-content?chartNo=%EC%B0%A820-3&chartType=1
2025-08-06 16:18:24.688 | DEBUG    | __main__:crawl_accident_data:53 - 페이지 20 완료 (총 2건)
2025-08-06 16:18:24.688 | INFO     | __main__:crawl_accident_data:76 - 페이지 20/62 완료 (현재까지 총 58건)
